window_end_date,disease,province,split,forecast_start,forecast_end
2006-06-11,influenza,CA-ON,test,2006-06-18,2006-08-06
2006-06-18,influenza,CA-ON,test,2006-06-25,2006-08-13
2006-06-25,influenza,CA-ON,test,2006-07-02,2006-08-20
2006-07-02,influenza,CA-ON,test,2006-07-09,2006-08-27
2006-07-09,influenza,CA-ON,test,2006-07-16,2006-09-03
2006-07-16,influenza,CA-ON,test,2006-07-23,2006-09-10
2006-07-23,influenza,CA-ON,test,2006-07-30,2006-09-17
2006-07-30,influenza,CA-ON,test,2006-08-06,2006-09-24
2006-08-06,influenza,CA-ON,test,2006-08-13,2006-10-01
2006-08-13,influenza,CA-ON,test,2006-08-20,2006-10-08
2006-08-20,influenza,CA-ON,test,2006-08-27,2006-10-15
2006-08-27,influenza,CA-ON,test,2006-09-03,2006-10-22
2006-09-03,influenza,CA-ON,test,2006-09-10,2006-10-29
2006-09-10,influenza,CA-ON,test,2006-09-17,2006-11-05
2006-09-17,influenza,CA-ON,test,2006-09-24,2006-11-12
2006-09-24,influenza,CA-ON,test,2006-10-01,2006-11-19
2006-10-01,influenza,CA-ON,test,2006-10-08,2006-11-26
2006-10-08,influenza,CA-ON,test,2006-10-15,2006-12-03
2006-10-15,influenza,CA-ON,test,2006-10-22,2006-12-10
2006-10-22,influenza,CA-ON,test,2006-10-29,2006-12-17
2006-10-29,influenza,CA-ON,test,2006-11-05,2006-12-24
2006-11-05,influenza,CA-ON,test,2006-11-12,2006-12-31
2006-11-12,influenza,CA-ON,test,2006-11-19,2007-01-07
2006-11-19,influenza,CA-ON,test,2006-11-26,2007-01-14
2006-11-26,influenza,CA-ON,test,2006-12-03,2007-01-21
2006-12-03,influenza,CA-ON,test,2006-12-10,2007-01-28
2006-12-10,influenza,CA-ON,test,2006-12-17,2007-02-04
2006-12-17,influenza,CA-ON,test,2006-12-24,2007-02-11
2006-12-24,influenza,CA-ON,test,2006-12-31,2007-02-18
2006-12-31,influenza,CA-ON,test,2007-01-07,2007-02-25
2007-01-07,influenza,CA-ON,test,2007-01-14,2007-03-04
2007-01-14,influenza,CA-ON,test,2007-01-21,2007-03-11
2007-01-21,influenza,CA-ON,test,2007-01-28,2007-03-18
2007-01-28,influenza,CA-ON,test,2007-02-04,2007-03-25
2007-02-04,influenza,CA-ON,test,2007-02-11,2007-04-01
2007-02-11,influenza,CA-ON,test,2007-02-18,2007-04-08
2007-02-18,influenza,CA-ON,test,2007-02-25,2007-04-15
2007-02-25,influenza,CA-ON,test,2007-03-04,2007-04-22
2007-03-04,influenza,CA-ON,test,2007-03-11,2007-04-29
2007-03-11,influenza,CA-ON,test,2007-03-18,2007-05-06
2007-03-18,influenza,CA-ON,test,2007-03-25,2007-05-13
2007-03-25,influenza,CA-ON,test,2007-04-01,2007-05-20
2007-04-01,influenza,CA-ON,test,2007-04-08,2007-05-27
2007-04-08,influenza,CA-ON,test,2007-04-15,2007-06-03
2007-04-15,influenza,CA-ON,test,2007-04-22,2007-06-10
2007-04-22,influenza,CA-ON,test,2007-04-29,2007-06-17
2007-04-29,influenza,CA-ON,test,2007-05-06,2007-06-24
2007-05-06,influenza,CA-ON,test,2007-05-13,2007-07-01
2007-05-13,influenza,CA-ON,test,2007-05-20,2007-07-08
2007-05-20,influenza,CA-ON,test,2007-05-27,2007-07-15
2007-05-27,influenza,CA-ON,test,2007-06-03,2007-07-22
2007-06-03,influenza,CA-ON,test,2007-06-10,2007-07-29
2007-06-10,influenza,CA-ON,test,2007-06-17,2007-08-05
2007-06-17,influenza,CA-ON,test,2007-06-24,2007-08-12
2007-06-24,influenza,CA-ON,test,2007-07-01,2007-08-19
2007-07-01,influenza,CA-ON,test,2007-07-08,2007-08-26
2007-07-08,influenza,CA-ON,test,2007-07-15,2007-09-02
2007-07-15,influenza,CA-ON,test,2007-07-22,2007-09-09
2007-07-22,influenza,CA-ON,test,2007-07-29,2007-09-16
2007-07-29,influenza,CA-ON,test,2007-08-05,2007-09-23
2007-08-05,influenza,CA-ON,test,2007-08-12,2007-09-30
2007-08-12,influenza,CA-ON,test,2007-08-19,2007-10-07
2007-08-19,influenza,CA-ON,test,2007-08-26,2007-10-14
2007-08-26,influenza,CA-ON,test,2007-09-02,2007-10-21
2007-09-02,influenza,CA-ON,test,2007-09-09,2007-10-28
2007-09-09,influenza,CA-ON,test,2007-09-16,2007-11-04
2007-09-16,influenza,CA-ON,test,2007-09-23,2007-11-11
2007-09-23,influenza,CA-ON,test,2007-09-30,2007-11-18
2007-09-30,influenza,CA-ON,test,2007-10-07,2007-11-25
2007-10-07,influenza,CA-ON,test,2007-10-14,2007-12-02
2007-10-14,influenza,CA-ON,test,2007-10-21,2007-12-09
2007-10-21,influenza,CA-ON,test,2007-10-28,2007-12-16
2007-10-28,influenza,CA-ON,test,2007-11-04,2007-12-23
2007-11-04,influenza,CA-ON,test,2007-11-11,2007-12-30
2007-11-11,influenza,CA-ON,test,2007-11-18,2008-01-06
2007-11-18,influenza,CA-ON,test,2007-11-25,2008-01-13
2007-11-25,influenza,CA-ON,test,2007-12-02,2008-01-20
2007-12-02,influenza,CA-ON,test,2007-12-09,2008-01-27
2007-12-09,influenza,CA-ON,test,2007-12-16,2008-02-03
2007-12-16,influenza,CA-ON,test,2007-12-23,2008-02-10
2007-12-23,influenza,CA-ON,test,2007-12-30,2008-02-17
2007-12-30,influenza,CA-ON,test,2008-01-06,2008-02-24
2008-01-06,influenza,CA-ON,test,2008-01-13,2008-03-02
2008-01-13,influenza,CA-ON,test,2008-01-20,2008-03-09
2008-01-20,influenza,CA-ON,test,2008-01-27,2008-03-16
2008-01-27,influenza,CA-ON,test,2008-02-03,2008-03-23
2008-02-03,influenza,CA-ON,test,2008-02-10,2008-03-30
2008-02-10,influenza,CA-ON,test,2008-02-17,2008-04-06
2008-02-17,influenza,CA-ON,test,2008-02-24,2008-04-13
2008-02-24,influenza,CA-ON,test,2008-03-02,2008-04-20
2008-03-02,influenza,CA-ON,test,2008-03-09,2008-04-27
2008-03-09,influenza,CA-ON,test,2008-03-16,2008-05-04
2008-03-16,influenza,CA-ON,test,2008-03-23,2008-05-11
2008-03-23,influenza,CA-ON,test,2008-03-30,2008-05-18
2008-03-30,influenza,CA-ON,test,2008-04-06,2008-05-25
2008-04-06,influenza,CA-ON,test,2008-04-13,2008-06-01
2008-04-13,influenza,CA-ON,test,2008-04-20,2008-06-08
2008-04-20,influenza,CA-ON,test,2008-04-27,2008-06-15
2008-04-27,influenza,CA-ON,test,2008-05-04,2008-06-22
2008-05-04,influenza,CA-ON,test,2008-05-11,2008-06-29
2008-05-11,influenza,CA-ON,test,2008-05-18,2008-07-06
2008-05-18,influenza,CA-ON,test,2008-05-25,2008-07-13
2008-05-25,influenza,CA-ON,test,2008-06-01,2008-07-20
2008-06-01,influenza,CA-ON,test,2008-06-08,2008-07-27
2008-06-08,influenza,CA-ON,test,2008-06-15,2008-08-03
2008-06-15,influenza,CA-ON,test,2008-06-22,2008-08-10
2008-06-22,influenza,CA-ON,test,2008-06-29,2008-08-17
2008-06-29,influenza,CA-ON,test,2008-07-06,2008-08-24
2008-07-06,influenza,CA-ON,test,2008-07-13,2008-08-31
2008-07-13,influenza,CA-ON,test,2008-07-20,2008-09-07
2008-07-20,influenza,CA-ON,test,2008-07-27,2008-09-14
2008-07-27,influenza,CA-ON,test,2008-08-03,2008-09-21
2008-08-03,influenza,CA-ON,test,2008-08-10,2008-09-28
2008-08-10,influenza,CA-ON,test,2008-08-17,2008-10-05
2008-08-17,influenza,CA-ON,test,2008-08-24,2008-10-12
2008-08-24,influenza,CA-ON,test,2008-08-31,2008-10-19
2008-08-31,influenza,CA-ON,test,2008-09-07,2008-10-26
2008-09-07,influenza,CA-ON,test,2008-09-14,2008-11-02
2008-09-14,influenza,CA-ON,test,2008-09-21,2008-11-09
2008-09-21,influenza,CA-ON,test,2008-09-28,2008-11-16
2008-09-28,influenza,CA-ON,test,2008-10-05,2008-11-23
2008-10-05,influenza,CA-ON,test,2008-10-12,2008-11-30
2008-10-12,influenza,CA-ON,test,2008-10-19,2008-12-07
2008-10-19,influenza,CA-ON,test,2008-10-26,2008-12-14
2008-10-26,influenza,CA-ON,test,2008-11-02,2008-12-21
2008-11-02,influenza,CA-ON,test,2008-11-09,2008-12-28
2008-11-09,influenza,CA-ON,test,2008-11-16,2009-01-04
2008-11-16,influenza,CA-ON,test,2008-11-23,2009-01-11
2008-11-23,influenza,CA-ON,test,2008-11-30,2009-01-18
2008-11-30,influenza,CA-ON,test,2008-12-07,2009-01-25
2008-12-07,influenza,CA-ON,test,2008-12-14,2009-02-01
2008-12-14,influenza,CA-ON,test,2008-12-21,2009-02-08
2008-12-21,influenza,CA-ON,test,2008-12-28,2009-02-15
2008-12-28,influenza,CA-ON,test,2009-01-04,2009-02-22
2009-01-04,influenza,CA-ON,test,2009-01-11,2009-03-01
2009-01-11,influenza,CA-ON,test,2009-01-18,2009-03-08
2009-01-18,influenza,CA-ON,test,2009-01-25,2009-03-15
2009-01-25,influenza,CA-ON,test,2009-02-01,2009-03-22
2009-02-01,influenza,CA-ON,test,2009-02-08,2009-03-29
2009-02-08,influenza,CA-ON,test,2009-02-15,2009-04-05
2009-02-15,influenza,CA-ON,test,2009-02-22,2009-04-12
2009-02-22,influenza,CA-ON,test,2009-03-01,2009-04-19
2009-03-01,influenza,CA-ON,test,2009-03-08,2009-04-26
2009-03-08,influenza,CA-ON,test,2009-03-15,2009-05-03
2009-03-15,influenza,CA-ON,test,2009-03-22,2009-05-10
2009-03-22,influenza,CA-ON,test,2009-03-29,2009-05-17
2009-03-29,influenza,CA-ON,test,2009-04-05,2009-05-24
2009-04-05,influenza,CA-ON,test,2009-04-12,2009-05-31
2009-04-12,influenza,CA-ON,test,2009-04-19,2009-06-07
2009-04-19,influenza,CA-ON,test,2009-04-26,2009-06-14
2009-04-26,influenza,CA-ON,test,2009-05-03,2009-06-21
2009-05-03,influenza,CA-ON,test,2009-05-10,2009-06-28
2009-05-10,influenza,CA-ON,test,2009-05-17,2009-07-05
2009-05-17,influenza,CA-ON,test,2009-05-24,2009-07-12
2009-05-24,influenza,CA-ON,test,2009-05-31,2009-07-19
2009-05-31,influenza,CA-ON,test,2009-06-07,2009-07-26
2009-06-07,influenza,CA-ON,test,2009-06-14,2009-08-02
2009-06-14,influenza,CA-ON,test,2009-06-21,2009-08-09
2009-06-21,influenza,CA-ON,test,2009-06-28,2009-08-16
2009-06-28,influenza,CA-ON,test,2009-07-05,2009-08-23
2009-07-05,influenza,CA-ON,test,2009-07-12,2009-08-30
2009-07-12,influenza,CA-ON,test,2009-07-19,2009-09-06
2009-07-19,influenza,CA-ON,test,2009-07-26,2009-09-13
2009-07-26,influenza,CA-ON,test,2009-08-02,2009-09-20
2009-08-02,influenza,CA-ON,test,2009-08-09,2009-09-27
2009-08-09,influenza,CA-ON,test,2009-08-16,2009-10-04
2009-08-16,influenza,CA-ON,test,2009-08-23,2009-10-11
2009-08-23,influenza,CA-ON,test,2009-08-30,2009-10-18
2009-08-30,influenza,CA-ON,test,2009-09-06,2009-10-25
2009-09-06,influenza,CA-ON,test,2009-09-13,2009-11-01
2009-09-13,influenza,CA-ON,test,2009-09-20,2009-11-08
2009-09-20,influenza,CA-ON,test,2009-09-27,2009-11-15
2009-09-27,influenza,CA-ON,test,2009-10-04,2009-11-22
2009-10-04,influenza,CA-ON,test,2009-10-11,2009-11-29
2009-10-11,influenza,CA-ON,test,2009-10-18,2009-12-06
2009-10-18,influenza,CA-ON,test,2009-10-25,2009-12-13
2009-10-25,influenza,CA-ON,test,2009-11-01,2009-12-20
2009-11-01,influenza,CA-ON,test,2009-11-08,2009-12-27
2009-11-08,influenza,CA-ON,test,2009-11-15,2010-01-03
2009-11-15,influenza,CA-ON,test,2009-11-22,2010-01-10
2009-11-22,influenza,CA-ON,test,2009-11-29,2010-01-17
2009-11-29,influenza,CA-ON,test,2009-12-06,2010-01-24
2009-12-06,influenza,CA-ON,test,2009-12-13,2010-01-31
2009-12-13,influenza,CA-ON,test,2009-12-20,2010-02-07
2009-12-20,influenza,CA-ON,test,2009-12-27,2010-02-14
2009-12-27,influenza,CA-ON,test,2010-01-03,2010-02-21
2010-01-03,influenza,CA-ON,test,2010-01-10,2010-02-28
2010-01-10,influenza,CA-ON,test,2010-01-17,2010-03-07
2010-01-17,influenza,CA-ON,test,2010-01-24,2010-03-14
2010-01-24,influenza,CA-ON,test,2010-01-31,2010-03-21
2010-01-31,influenza,CA-ON,test,2010-02-07,2010-03-28
2010-02-07,influenza,CA-ON,test,2010-02-14,2010-04-04
2010-02-14,influenza,CA-ON,test,2010-02-21,2010-04-11
2010-02-21,influenza,CA-ON,test,2010-02-28,2010-04-18
2010-02-28,influenza,CA-ON,test,2010-03-07,2010-04-25
2010-03-07,influenza,CA-ON,test,2010-03-14,2010-05-02
2010-03-14,influenza,CA-ON,test,2010-03-21,2010-05-09
2010-03-21,influenza,CA-ON,test,2010-03-28,2010-05-16
2010-03-28,influenza,CA-ON,test,2010-04-04,2010-05-23
2010-04-04,influenza,CA-ON,test,2010-04-11,2010-05-30
2010-04-11,influenza,CA-ON,test,2010-04-18,2010-06-06
2010-04-18,influenza,CA-ON,test,2010-04-25,2010-06-13
2010-04-25,influenza,CA-ON,test,2010-05-02,2010-06-20
2010-05-02,influenza,CA-ON,test,2010-05-09,2010-06-27
2010-05-09,influenza,CA-ON,test,2010-05-16,2010-07-04
2010-05-16,influenza,CA-ON,test,2010-05-23,2010-07-11
2010-05-23,influenza,CA-ON,test,2010-05-30,2010-07-18
2010-05-30,influenza,CA-ON,test,2010-06-06,2010-07-25
2010-06-06,influenza,CA-ON,test,2010-06-13,2010-08-01
2010-06-13,influenza,CA-ON,test,2010-06-20,2010-08-08
2010-06-20,influenza,CA-ON,test,2010-06-27,2010-08-15
2010-06-27,influenza,CA-ON,test,2010-07-04,2010-08-22
2010-07-04,influenza,CA-ON,test,2010-07-11,2010-08-29
2010-07-11,influenza,CA-ON,test,2010-07-18,2010-09-05
2010-07-18,influenza,CA-ON,test,2010-07-25,2010-09-12
2010-07-25,influenza,CA-ON,test,2010-08-01,2010-09-19
2010-08-01,influenza,CA-ON,test,2010-08-08,2010-09-26
2010-08-08,influenza,CA-ON,test,2010-08-15,2010-10-03
2010-08-15,influenza,CA-ON,test,2010-08-22,2010-10-10
2010-08-22,influenza,CA-ON,test,2010-08-29,2010-10-17
2010-08-29,influenza,CA-ON,test,2010-09-05,2010-10-24
2010-09-05,influenza,CA-ON,test,2010-09-12,2010-10-31
2010-09-12,influenza,CA-ON,test,2010-09-19,2010-11-07
2010-09-19,influenza,CA-ON,test,2010-09-26,2010-11-14
2010-09-26,influenza,CA-ON,test,2010-10-03,2010-11-21
2010-10-03,influenza,CA-ON,test,2010-10-10,2010-11-28
2010-10-10,influenza,CA-ON,test,2010-10-17,2010-12-05
2010-10-17,influenza,CA-ON,test,2010-10-24,2010-12-12
2010-10-24,influenza,CA-ON,test,2010-10-31,2010-12-19
2010-10-31,influenza,CA-ON,test,2010-11-07,2010-12-26
2010-11-07,influenza,CA-ON,test,2010-11-14,2011-01-02
2010-11-14,influenza,CA-ON,test,2010-11-21,2011-01-09
2010-11-21,influenza,CA-ON,test,2010-11-28,2011-01-16
2010-11-28,influenza,CA-ON,test,2010-12-05,2011-01-23
2010-12-05,influenza,CA-ON,test,2010-12-12,2011-01-30
2010-12-12,influenza,CA-ON,test,2010-12-19,2011-02-06
2010-12-19,influenza,CA-ON,test,2010-12-26,2011-02-13
2010-12-26,influenza,CA-ON,test,2011-01-02,2011-02-20
2011-01-02,influenza,CA-ON,test,2011-01-09,2011-02-27
2011-01-09,influenza,CA-ON,test,2011-01-16,2011-03-06
2011-01-16,influenza,CA-ON,test,2011-01-23,2011-03-13
2011-01-23,influenza,CA-ON,test,2011-01-30,2011-03-20
2011-01-30,influenza,CA-ON,test,2011-02-06,2011-03-27
2011-02-06,influenza,CA-ON,test,2011-02-13,2011-04-03
2011-02-13,influenza,CA-ON,test,2011-02-20,2011-04-10
2011-02-20,influenza,CA-ON,test,2011-02-27,2011-04-17
2011-02-27,influenza,CA-ON,test,2011-03-06,2011-04-24
2011-03-06,influenza,CA-ON,test,2011-03-13,2011-05-01
2011-03-13,influenza,CA-ON,test,2011-03-20,2011-05-08
2011-03-20,influenza,CA-ON,test,2011-03-27,2011-05-15
2011-03-27,influenza,CA-ON,test,2011-04-03,2011-05-22
2011-04-03,influenza,CA-ON,test,2011-04-10,2011-05-29
2011-04-10,influenza,CA-ON,test,2011-04-17,2011-06-05
2011-04-17,influenza,CA-ON,test,2011-04-24,2011-06-12
2011-04-24,influenza,CA-ON,test,2011-05-01,2011-06-19
2011-05-01,influenza,CA-ON,test,2011-05-08,2011-06-26
2011-05-08,influenza,CA-ON,test,2011-05-15,2011-07-03
2011-05-15,influenza,CA-ON,test,2011-05-22,2011-07-10
2011-05-22,influenza,CA-ON,test,2011-05-29,2011-07-17
2011-05-29,influenza,CA-ON,test,2011-06-05,2011-07-24
2011-06-05,influenza,CA-ON,test,2011-06-12,2011-07-31
2011-06-12,influenza,CA-ON,test,2011-06-19,2011-08-07
2011-06-19,influenza,CA-ON,test,2011-06-26,2011-08-14
2011-06-26,influenza,CA-ON,test,2011-07-03,2011-08-21
2011-07-03,influenza,CA-ON,test,2011-07-10,2011-08-28
2011-07-10,influenza,CA-ON,test,2011-07-17,2011-09-04
2011-07-17,influenza,CA-ON,test,2011-07-24,2011-09-11
2011-07-24,influenza,CA-ON,test,2011-07-31,2011-09-18
2011-07-31,influenza,CA-ON,test,2011-08-07,2011-09-25
2011-08-07,influenza,CA-ON,test,2011-08-14,2011-10-02
2011-08-14,influenza,CA-ON,test,2011-08-21,2011-10-09
2011-08-21,influenza,CA-ON,test,2011-08-28,2011-10-16
2011-08-28,influenza,CA-ON,test,2011-09-04,2011-10-23
2011-09-04,influenza,CA-ON,test,2011-09-11,2011-10-30
2011-09-11,influenza,CA-ON,test,2011-09-18,2011-11-06
2011-09-18,influenza,CA-ON,test,2011-09-25,2011-11-13
2011-09-25,influenza,CA-ON,test,2011-10-02,2011-11-20
2011-10-02,influenza,CA-ON,test,2011-10-09,2011-11-27
2011-10-09,influenza,CA-ON,test,2011-10-16,2011-12-04
2011-10-16,influenza,CA-ON,test,2011-10-23,2011-12-11
2011-10-23,influenza,CA-ON,test,2011-10-30,2011-12-18
2011-10-30,influenza,CA-ON,test,2011-11-06,2011-12-25
2011-11-06,influenza,CA-ON,test,2011-11-13,2012-01-01
2011-11-13,influenza,CA-ON,test,2011-11-20,2012-01-08
2011-11-20,influenza,CA-ON,test,2011-11-27,2012-01-15
2011-11-27,influenza,CA-ON,test,2011-12-04,2012-01-22
2011-12-04,influenza,CA-ON,test,2011-12-11,2012-01-29
2011-12-11,influenza,CA-ON,test,2011-12-18,2012-02-05
2011-12-18,influenza,CA-ON,test,2011-12-25,2012-02-12
2011-12-25,influenza,CA-ON,test,2012-01-01,2012-02-19
2012-01-01,influenza,CA-ON,test,2012-01-08,2012-02-26
2012-01-08,influenza,CA-ON,test,2012-01-15,2012-03-04
2012-01-15,influenza,CA-ON,test,2012-01-22,2012-03-11
2012-01-22,influenza,CA-ON,test,2012-01-29,2012-03-18
2012-01-29,influenza,CA-ON,test,2012-02-05,2012-03-25
2012-02-05,influenza,CA-ON,test,2012-02-12,2012-04-01
2012-02-12,influenza,CA-ON,test,2012-02-19,2012-04-08
2012-02-19,influenza,CA-ON,test,2012-02-26,2012-04-15
2012-02-26,influenza,CA-ON,test,2012-03-04,2012-04-22
2012-03-04,influenza,CA-ON,test,2012-03-11,2012-04-29
2012-03-11,influenza,CA-ON,test,2012-03-18,2012-05-06
2012-03-18,influenza,CA-ON,test,2012-03-25,2012-05-13
2012-03-25,influenza,CA-ON,test,2012-04-01,2012-05-20
2012-04-01,influenza,CA-ON,test,2012-04-08,2012-05-27
2012-04-08,influenza,CA-ON,test,2012-04-15,2012-06-03
2012-04-15,influenza,CA-ON,test,2012-04-22,2012-06-10
2012-04-22,influenza,CA-ON,test,2012-04-29,2012-06-17
2012-04-29,influenza,CA-ON,test,2012-05-06,2012-06-24
2012-05-06,influenza,CA-ON,test,2012-05-13,2012-07-01
2012-05-13,influenza,CA-ON,test,2012-05-20,2012-07-08
2012-05-20,influenza,CA-ON,test,2012-05-27,2012-07-15
2012-05-27,influenza,CA-ON,test,2012-06-03,2012-07-22
2012-06-03,influenza,CA-ON,test,2012-06-10,2012-07-29
2012-06-10,influenza,CA-ON,test,2012-06-17,2012-08-05
2012-06-17,influenza,CA-ON,test,2012-06-24,2012-08-12
2012-06-24,influenza,CA-ON,test,2012-07-01,2012-08-19
2012-07-01,influenza,CA-ON,test,2012-07-08,2012-08-26
2012-07-08,influenza,CA-ON,test,2012-07-15,2012-09-02
2012-07-15,influenza,CA-ON,test,2012-07-22,2012-09-09
2012-07-22,influenza,CA-ON,test,2012-07-29,2012-09-16
2012-07-29,influenza,CA-ON,test,2012-08-05,2012-09-23
2012-08-05,influenza,CA-ON,test,2012-08-12,2012-09-30
2012-08-12,influenza,CA-ON,test,2012-08-19,2012-10-07
2012-08-19,influenza,CA-ON,test,2012-08-26,2012-10-14
2012-08-26,influenza,CA-ON,test,2012-09-02,2012-10-21
2012-09-02,influenza,CA-ON,test,2012-09-09,2012-10-28
2012-09-09,influenza,CA-ON,test,2012-09-16,2012-11-04
2012-09-16,influenza,CA-ON,test,2012-09-23,2012-11-11
2012-09-23,influenza,CA-ON,test,2012-09-30,2012-11-18
2012-09-30,influenza,CA-ON,test,2012-10-07,2012-11-25
2012-10-07,influenza,CA-ON,test,2012-10-14,2012-12-02
2012-10-14,influenza,CA-ON,test,2012-10-21,2012-12-09
2012-10-21,influenza,CA-ON,test,2012-10-28,2012-12-16
2012-10-28,influenza,CA-ON,test,2012-11-04,2012-12-23
2012-11-04,influenza,CA-ON,test,2012-11-11,2012-12-30
2012-11-11,influenza,CA-ON,test,2012-11-18,2013-01-06
2012-11-18,influenza,CA-ON,test,2012-11-25,2013-01-13
2012-11-25,influenza,CA-ON,test,2012-12-02,2013-01-20
2012-12-02,influenza,CA-ON,test,2012-12-09,2013-01-27
2012-12-09,influenza,CA-ON,test,2012-12-16,2013-02-03
2012-12-16,influenza,CA-ON,test,2012-12-23,2013-02-10
2012-12-23,influenza,CA-ON,test,2012-12-30,2013-02-17
2012-12-30,influenza,CA-ON,test,2013-01-06,2013-02-24
2013-01-06,influenza,CA-ON,test,2013-01-13,2013-03-03
2013-01-13,influenza,CA-ON,test,2013-01-20,2013-03-10
2013-01-20,influenza,CA-ON,test,2013-01-27,2013-03-17
2013-01-27,influenza,CA-ON,test,2013-02-03,2013-03-24
2013-02-03,influenza,CA-ON,test,2013-02-10,2013-03-31
2013-02-10,influenza,CA-ON,test,2013-02-17,2013-04-07
2013-02-17,influenza,CA-ON,test,2013-02-24,2013-04-14
2013-02-24,influenza,CA-ON,test,2013-03-03,2013-04-21
2013-03-03,influenza,CA-ON,test,2013-03-10,2013-04-28
2013-03-10,influenza,CA-ON,test,2013-03-17,2013-05-05
2013-03-17,influenza,CA-ON,test,2013-03-24,2013-05-12
2013-03-24,influenza,CA-ON,test,2013-03-31,2013-05-19
2013-03-31,influenza,CA-ON,test,2013-04-07,2013-05-26
2013-04-07,influenza,CA-ON,test,2013-04-14,2013-06-02
2013-04-14,influenza,CA-ON,test,2013-04-21,2013-06-09
2013-04-21,influenza,CA-ON,test,2013-04-28,2013-06-16
2013-04-28,influenza,CA-ON,test,2013-05-05,2013-06-23
2013-05-05,influenza,CA-ON,test,2013-05-12,2013-06-30
2013-05-12,influenza,CA-ON,test,2013-05-19,2013-07-07
2013-05-19,influenza,CA-ON,test,2013-05-26,2013-07-14
2013-05-26,influenza,CA-ON,test,2013-06-02,2013-07-21
2013-06-02,influenza,CA-ON,test,2013-06-09,2013-07-28
2013-06-09,influenza,CA-ON,test,2013-06-16,2013-08-04
2013-06-16,influenza,CA-ON,test,2013-06-23,2013-08-11
2013-06-23,influenza,CA-ON,test,2013-06-30,2013-08-18
2013-06-30,influenza,CA-ON,test,2013-07-07,2013-08-25
2013-07-07,influenza,CA-ON,test,2013-07-14,2013-09-01
2013-07-14,influenza,CA-ON,test,2013-07-21,2013-09-08
2013-07-21,influenza,CA-ON,test,2013-07-28,2013-09-15
2013-07-28,influenza,CA-ON,test,2013-08-04,2013-09-22
2013-08-04,influenza,CA-ON,test,2013-08-11,2013-09-29
2013-08-11,influenza,CA-ON,test,2013-08-18,2013-10-06
2013-08-18,influenza,CA-ON,test,2013-08-25,2013-10-13
2013-08-25,influenza,CA-ON,test,2013-09-01,2013-10-20
2013-09-01,influenza,CA-ON,test,2013-09-08,2013-10-27
2013-09-08,influenza,CA-ON,test,2013-09-15,2013-11-03
2013-09-15,influenza,CA-ON,test,2013-09-22,2013-11-10
2013-09-22,influenza,CA-ON,test,2013-09-29,2013-11-17
2013-09-29,influenza,CA-ON,test,2013-10-06,2013-11-24
2013-10-06,influenza,CA-ON,test,2013-10-13,2013-12-01
2013-10-13,influenza,CA-ON,test,2013-10-20,2013-12-08
2013-10-20,influenza,CA-ON,test,2013-10-27,2013-12-15
2013-10-27,influenza,CA-ON,test,2013-11-03,2013-12-22
2013-11-03,influenza,CA-ON,test,2013-11-10,2013-12-29
2013-11-10,influenza,CA-ON,test,2013-11-17,2014-01-05
2013-11-17,influenza,CA-ON,test,2013-11-24,2014-01-12
2013-11-24,influenza,CA-ON,test,2013-12-01,2014-01-19
2013-12-01,influenza,CA-ON,test,2013-12-08,2014-01-26
2013-12-08,influenza,CA-ON,test,2013-12-15,2014-02-02
2013-12-15,influenza,CA-ON,test,2013-12-22,2014-02-09
2013-12-22,influenza,CA-ON,test,2013-12-29,2014-02-16
2013-12-29,influenza,CA-ON,test,2014-01-05,2014-02-23
2014-01-05,influenza,CA-ON,test,2014-01-12,2014-03-02
2014-01-12,influenza,CA-ON,test,2014-01-19,2014-03-09
2014-01-19,influenza,CA-ON,test,2014-01-26,2014-03-16
2014-01-26,influenza,CA-ON,test,2014-02-02,2014-03-23
2014-02-02,influenza,CA-ON,test,2014-02-09,2014-03-30
2014-02-09,influenza,CA-ON,test,2014-02-16,2014-04-06
2014-02-16,influenza,CA-ON,test,2014-02-23,2014-04-13
2014-02-23,influenza,CA-ON,test,2014-03-02,2014-04-20
2014-03-02,influenza,CA-ON,test,2014-03-09,2014-04-27
2014-03-09,influenza,CA-ON,test,2014-03-16,2014-05-04
2014-03-16,influenza,CA-ON,test,2014-03-23,2014-05-11
2014-03-23,influenza,CA-ON,test,2014-03-30,2014-05-18
2014-03-30,influenza,CA-ON,test,2014-04-06,2014-05-25
2014-04-06,influenza,CA-ON,test,2014-04-13,2014-06-01
2014-04-13,influenza,CA-ON,test,2014-04-20,2014-06-08
2014-04-20,influenza,CA-ON,test,2014-04-27,2014-06-15
2014-04-27,influenza,CA-ON,test,2014-05-04,2014-06-22
2014-05-04,influenza,CA-ON,test,2014-05-11,2014-06-29
2014-05-11,influenza,CA-ON,test,2014-05-18,2014-07-06
2014-05-18,influenza,CA-ON,test,2014-05-25,2014-07-13
2014-05-25,influenza,CA-ON,test,2014-06-01,2014-07-20
2014-06-01,influenza,CA-ON,test,2014-06-08,2014-07-27
2014-06-08,influenza,CA-ON,test,2014-06-15,2014-08-03
2014-06-15,influenza,CA-ON,test,2014-06-22,2014-08-10
2014-06-22,influenza,CA-ON,test,2014-06-29,2014-08-17
2014-06-29,influenza,CA-ON,test,2014-07-06,2014-08-24
2014-07-06,influenza,CA-ON,test,2014-07-13,2014-08-31
2014-07-13,influenza,CA-ON,test,2014-07-20,2014-09-07
